lat8,lng8
33.5714279,-86.50032259
33.5757329,-86.94447882
33.4215729,-87.15223395
33.2241639,-86.79767439
32.9287409,-85.93595031
33.3184609,-86.19373098
34.3156349,-86.4742567
34.2555939,-86.60592868
33.3962979,-86.93233038
33.4019209,-86.9843894
34.0802329,-86.55328958
33.9609599,-86.98896412
32.9229659,-87.1962523
33.0300429,-86.93651893
33.0970959,-86.74082238
32.9376199,-87.10410279
33.3588779,-86.59892193
33.2542239,-86.32243017
32.8228279,-86.62735438
33.9794019,-86.5440348
33.1642599,-86.60096878
34.0694129,-87.03305854
33.4937439,-86.26479228
34.1634419,-86.81442348
33.4527199,-86.94120849
33.7222429,-87.02487385
33.8128849,-87.00084868
33.4607899,-86.90303407
33.5985789,-86.79836179
33.7062059,-86.8072097
33.0619379,-86.06299044
33.6208559,-86.93296484
34.0388649,-86.76951307
33.3547559,-86.41423165
33.8731019,-86.8023689
33.3042739,-86.79858546
34.1773809,-86.60208494
32.9678349,-86.70290961
34.2710349,-86.53656586
32.9663639,-86.03325487
33.7556509,-86.7931369
33.5156289,-86.55958643
33.5932089,-86.09590074
34.1713749,-87.02276004
33.2718419,-87.08718411
33.2189899,-86.85755929
33.1120609,-86.8470608
33.7264679,-86.7572761
33.6640759,-86.85644618
33.5279919,-87.02875825
33.6629069,-86.39368839
33.9131539,-86.45880972
33.2977559,-86.79097659
33.5851849,-86.32790115
33.6954269,-86.64127262
33.4756319,-86.96135546
33.6433609,-87.08539986
33.7239729,-86.14662554
33.8334999,-86.626368
33.5961279,-86.18308922
32.8652529,-86.22488115
33.0657789,-86.53844678
33.7259429,-86.42413219
33.4333989,-86.47650888
33.7553009,-87.02926496
33.1589709,-86.25608169
33.4227409,-86.09813075
32.9110509,-86.73159133
33.8063339,-86.72812485
33.6212279,-86.58281178
34.3966409,-86.44739682
33.4679999,-86.48604881
33.3883449,-86.38420977
34.2494169,-86.89714281
33.8401579,-86.80455381
33.0111059,-86.28905319
33.1297269,-87.12176975
33.2165509,-86.51470872
33.1571039,-87.14829402
33.5082899,-86.79138972
33.5052459,-86.82196225
33.4824399,-86.79070527
33.5550929,-86.70460947
33.5466789,-86.80010095
33.4849539,-86.86465183
33.4569199,-86.79151075
33.5200929,-86.67045864
33.4688609,-86.84381065
33.5281789,-86.73428422
33.4954909,-86.72687397
33.5427409,-86.87174665
33.6227429,-86.67794051
33.4026059,-86.77520728
33.5759959,-86.74974678
33.4932679,-86.87775936
33.4396119,-86.87826879
33.5091549,-86.75134257
33.4760219,-86.7213534
33.5064219,-86.91895705
33.3909709,-86.81604132
33.4497419,-86.89947701
33.4934569,-86.78502333
33.5250459,-86.79161077
33.6053409,-86.64579759
33.3888549,-86.69029569
33.4333489,-86.72845289
33.3590719,-86.76117089
33.1841869,-87.54748633
33.1982099,-87.4728969
33.1489999,-87.49926142
33.2594699,-87.52084226
32.8596499,-87.69343411
33.1101089,-88.15152214
32.7619419,-88.01154473
33.2648189,-87.29383133
33.2367439,-87.70369721
33.2358019,-88.11693337
33.2399079,-87.62133866
33.1639629,-87.37187483
33.0701109,-87.47981704
33.3038549,-87.79200153
33.3309739,-87.7862238
32.7422589,-88.29064307
32.7506669,-88.14633764
33.3741119,-88.20677426
32.8761669,-87.91517029
33.1231549,-87.72051889
32.8956599,-88.25642796
33.3342129,-87.88529824
32.9697189,-87.77671229
32.5758049,-88.15851617
32.9661489,-87.5999919
33.2707209,-87.5762463
33.0501639,-87.72982747
33.3832409,-88.00506267
33.1622759,-87.24218612
33.8589679,-87.23384544
34.1928669,-87.17940712
34.0505299,-87.16742796
33.6881259,-87.67438191
34.2007649,-87.67072269
33.9301729,-88.00035866
33.6817809,-87.60729604
34.0249979,-87.74098657
33.8965479,-87.5250227
33.7553289,-87.16877996
33.9981699,-88.14530641
34.1259779,-87.38208429
33.9188419,-87.6040877
33.6846929,-87.81937952
33.9549199,-87.88706421
34.2550989,-87.84539177
34.2187189,-87.57844741
34.1407089,-87.99317161
34.3289599,-87.94363926
34.1053379,-87.24648703
33.5622599,-88.0364742
34.0402799,-87.52448281
33.5274259,-88.18476335
33.9171549,-87.41714
33.6874699,-87.35330603
33.7086029,-87.25050128
34.3343139,-87.70004627
34.4385549,-88.09751011
34.3720919,-87.69675734
33.8421959,-88.13547844
33.8343159,-87.42195385
33.7485809,-88.08264016
34.3584559,-88.06203284
33.9175519,-87.78185093
34.5768949,-86.97325052
34.5357129,-86.98496715
34.9390729,-87.25682969
34.7908999,-86.95526358
34.7314839,-87.95698671
34.6591619,-87.29881021
34.4394849,-87.03778293
34.9025369,-86.89496158
34.3350739,-86.68904213
34.3349489,-86.89770116
34.8178429,-87.64051053
34.8697669,-87.72429376
34.4355019,-86.90883167
34.6349259,-87.16493873
34.8889279,-87.49269715
34.6982779,-87.50668092
34.9056599,-87.12790499
34.9432199,-87.3780209
34.4931319,-87.20697103
34.4502649,-87.43604695
34.8368399,-87.30819296
34.4938639,-87.7103119
34.7451249,-87.68159616
34.7434319,-87.61498248
34.4868439,-86.78551819
34.7003329,-86.97369953
34.6364339,-87.41075445
34.5790669,-87.07584011
34.6747279,-87.66781131
34.9229759,-87.94691773
34.9677429,-86.81910926
34.9319339,-85.71218503
34.7040289,-86.45324984
34.5918539,-85.89129674
34.9003129,-86.156081
34.8131859,-85.9691744
34.4831979,-86.24362887
34.7012599,-86.37857536
34.8146159,-86.73445513
34.9369229,-86.57798709
34.7862749,-86.21815845
34.7177239,-85.93771728
34.4869429,-86.59745617
34.4851269,-86.09021751
34.7007049,-86.73549846
34.8490749,-86.56339865
34.5367409,-86.38067796
34.8872869,-86.43325446
34.6001549,-86.4511432
34.6544179,-86.3171181
34.6758969,-85.78759609
34.8275129,-86.23459171
34.6595659,-86.03589114
34.5305709,-85.9785811
34.8641809,-85.83531981
34.8989399,-86.68446126
34.7273609,-86.27580648
34.5254409,-86.66258005
34.6562229,-86.21416576
34.7141619,-86.55186295
34.6552179,-86.54490295
34.6078019,-86.53552477
34.6932389,-86.60104186
34.7320609,-86.6549526
34.6718209,-86.63837385
34.7656739,-86.59359831
34.7662449,-86.5283212
34.7261599,-86.60949071
34.6456169,-86.71404374
33.9845439,-85.99495787
33.9843529,-85.91340291
34.0089899,-86.03415346
33.9440829,-85.91227216
34.2611549,-86.19107567
34.0302119,-86.33554963
33.8246619,-86.23987458
34.0168929,-86.08139004
34.1609819,-86.13264993
34.9323219,-85.61694896
34.2289579,-85.58720155
34.0988879,-85.5938872
34.2552529,-85.84659875
34.2460799,-86.01520642
34.3441339,-85.91377447
34.7948939,-85.69290183
34.4240879,-85.69699277
34.4245799,-85.91344768
33.9848819,-86.21928481
34.3446199,-85.54350638
34.3311599,-86.02500885
34.4231699,-86.02462194
34.3092259,-86.29008287
34.6058999,-85.71194613
34.8605429,-85.6070245
34.1773289,-86.30196195
34.7223549,-85.62612042
34.1783789,-85.75515376
34.5745319,-85.56229895
34.4861799,-85.82919232
33.9289749,-86.21361787
34.5462579,-85.7767042
34.5569959,-85.61178221
32.4497579,-86.69988329
31.7739969,-85.22471331
31.8240879,-85.78489221
32.5978739,-86.70122145
31.5582589,-86.25943398
31.6886199,-85.80273808
32.2881869,-85.99621318
31.8747089,-85.435972
31.6725059,-85.57549167
32.6007009,-86.32313098
32.6414859,-86.01652711
32.5326739,-86.30106541
32.8012039,-86.08995006
31.8923589,-85.15064214
31.4939099,-86.35141625
32.1389029,-85.87332583
31.8404759,-86.77142256
32.2767459,-85.68566207
31.9832749,-86.56116433
31.6159579,-86.71904675
31.6514389,-86.15604805
31.8122659,-86.08990113
32.0066929,-86.1142645
31.7973319,-86.60797154
31.4042049,-86.40495151
32.3002349,-85.86880718
32.1830029,-86.63998356
31.9155879,-86.28214436
31.8656929,-86.38310547
32.2115519,-86.37817385
31.9727189,-86.26355805
32.0734949,-86.47302057
31.7815579,-85.54311709
31.6946859,-86.2416701
32.6266689,-86.4950536
32.1155839,-86.02626266
32.0828159,-85.51652904
32.4867809,-86.3490641
31.9907549,-85.73275111
32.3230009,-86.0808564
32.4659909,-86.41491258
32.4587969,-86.46801578
32.0550409,-86.23133959
31.7431629,-86.33352529
32.3708809,-85.90111844
32.5382929,-85.88274047
32.6773149,-86.22424106
31.7817669,-85.95054806
32.4189189,-85.67101044
32.4049949,-85.69980076
32.1535479,-85.66374042
32.7468609,-86.52864829
32.5323859,-86.17297046
32.3603329,-86.2930892
32.3130259,-86.29541706
32.3415639,-86.25224132
32.3677009,-86.26484397
32.3289779,-86.33786941
32.3707389,-86.22835247
32.4089819,-86.2599491
32.3246589,-86.25650913
32.3754289,-86.34080569
32.3941099,-86.23228157
32.3002389,-86.22702618
32.3608639,-86.16825911
33.6411919,-85.82289224
33.5841249,-85.81822034
33.6974639,-85.78619726
33.7064199,-85.82363266
33.7680809,-85.87716468
33.2346589,-85.81378757
33.2044439,-85.69561382
33.0207669,-85.73867953
33.4445989,-85.66405392
33.5904279,-85.94549923
33.7590279,-85.4228593
33.4502719,-85.31880792
33.5988109,-85.57321875
33.8182619,-85.75988872
33.3159089,-85.71940643
33.1462549,-85.95382789
33.5282829,-85.9210822
33.7402089,-85.36362965
33.4274679,-85.49070292
33.7660749,-86.01007504
33.8262419,-85.6307043
33.5489229,-85.36336056
33.1437389,-85.34268133
33.1364879,-85.53617258
33.7435819,-85.79538805
33.2891499,-85.45853909
33.8511389,-85.90002784
33.3427489,-85.33856075
31.1901839,-85.40318527
31.2425349,-85.39760304
31.5627749,-85.26413426
31.5702919,-85.69280506
31.1760959,-85.23863948
31.0004759,-85.7308129
31.1606749,-85.8960509
31.5901389,-85.46739388
31.1260539,-85.90338332
31.3225309,-85.13061643
31.0862299,-85.36083054
31.2683869,-85.71560997
31.4010259,-86.06284401
31.3280849,-85.82723856
31.0287409,-85.8699225
31.0874859,-85.10857734
31.0732759,-85.70437156
31.3407019,-85.31740256
31.5396879,-86.02817695
31.1448239,-85.50748338
31.3544559,-85.49815639
31.3562759,-85.9255091
31.3183599,-85.58435809
31.4275909,-85.3138528
31.4263649,-85.62874099
31.3353069,-85.70650042
31.1190739,-85.22370941
31.6129229,-85.13092223
31.5388839,-85.53467207
31.0828539,-85.56812007
31.2529139,-85.23952441
31.4453049,-86.91087998
31.6115619,-87.65254245
31.2844379,-86.47560245
31.7146199,-87.15697789
31.1062219,-87.05248742
31.3134089,-87.01188387
31.8761469,-87.37759777
31.7044629,-87.64199653
31.0275289,-87.25153969
31.0044899,-86.32370627
31.7111109,-87.42630346
31.4107739,-87.36685846
31.7782429,-87.69312063
31.6627979,-87.74864523
31.2494139,-86.05467196
31.3145569,-87.18183969
31.5322459,-86.72071013
31.5026259,-87.32609286
31.2671569,-86.24224217
31.5772489,-87.24507194
31.2889859,-87.30487273
31.4272269,-86.59720185
31.4128649,-87.15715313
31.0922139,-86.0525806
31.3007629,-87.55564987
31.7217259,-87.40124875
31.6267489,-87.64158202
31.1354229,-86.54634785
31.0445409,-87.47251904
30.9941129,-88.02791989
30.8508359,-87.74964207
30.3952789,-88.23596855
31.5763679,-88.15038208
30.3161789,-87.70663846
31.3097449,-87.82292345
31.4749339,-88.25499127
30.9784739,-88.11630831
31.0298289,-88.24012333
30.4061299,-88.15354592
31.7715759,-88.05659871
30.8885629,-88.00261024
30.6070159,-87.87476145
30.6831479,-87.87190783
30.2393529,-88.09493897
31.1721879,-88.31246209
30.3815349,-87.57423362
30.4884559,-87.86880347
30.3879599,-87.67100966
31.6341359,-88.11826383
31.3361389,-88.36172328
31.4131179,-87.66729009
30.4855839,-88.3135079
30.2562499,-87.69808744
30.4675369,-88.22482364
31.5003939,-87.85229221
31.4783169,-87.95377573
30.3845359,-87.45972517
31.2118859,-87.73994186
30.6052599,-87.74147972
31.2234039,-88.03624605
30.3817929,-87.77105458
