lat7,lng7
33.5968361,-86.53082191
33.6011411,-86.97497967
33.4469811,-87.1826805
33.2495721,-86.82805202
32.9541491,-85.96622604
33.3438691,-86.22414145
34.3410431,-86.50502396
34.2810021,-86.63667396
33.4217061,-86.96276807
33.4273291,-87.01482906
34.1056411,-86.58397102
33.9863681,-87.01960246
32.9483741,-87.22652605
33.0554511,-86.96682944
33.1225041,-86.771156
32.9630281,-87.13438156
33.3842861,-86.62934652
33.2796321,-86.35281825
32.8482361,-86.65759395
34.0048101,-86.57467978
33.1896681,-86.63132562
34.0948211,-87.06373606
33.5191521,-86.29526419
34.1888501,-86.84513514
33.4781281,-86.97166597
33.7476511,-87.05542667
33.8382931,-87.03143386
33.4861981,-86.93349439
33.6239871,-86.82887071
33.7316141,-86.83775682
33.0873461,-86.09331193
33.6462641,-86.96348166
34.0642731,-86.80017953
33.3801641,-86.44465479
33.8985101,-86.83297565
33.3296821,-86.82899097
34.2027891,-86.63280168
32.9932431,-86.73319874
34.2964431,-86.56731679
32.9917721,-86.06354349
33.7810591,-86.82370163
33.5410371,-86.59006605
33.6186171,-86.12640776
34.1967831,-87.05347459
33.2972501,-87.11757832
33.2443981,-86.88793512
33.1374691,-86.87739959
33.7518761,-86.78783043
33.6894841,-86.88697833
33.5534001,-87.05924223
33.6883151,-86.42422012
33.9385621,-86.48943085
33.3231641,-86.82137984
33.6105931,-86.35840534
33.7208351,-86.6718159
33.5010401,-86.991821
33.6687691,-87.11592465
33.7493811,-86.17717898
33.8589081,-86.65696055
33.6215361,-86.21359728
32.8906611,-86.25513518
33.0911871,-86.5687696
33.7513511,-86.45468633
33.4588071,-86.50695958
33.7807091,-87.05982957
33.1843791,-86.28643671
33.4481491,-86.12857771
32.9364591,-86.76186101
33.8317421,-86.75870769
33.6466361,-86.61332872
34.4220491,-86.47819385
33.4934081,-86.51651166
33.4137531,-86.41464468
34.2748251,-86.92788583
33.8655661,-86.83514874
33.0365141,-86.31935718
33.1551351,-87.15211464
33.2419591,-86.5450837
33.1825121,-87.17864838
33.5336981,-86.82186676
33.5306541,-86.85243822
33.5078481,-86.8211732
