lat2,lng2
33.5714279,-86.51557
33.5757329,-86.959727
33.4215729,-87.167455
33.2241639,-86.812861
32.9287409,-85.951086
33.3184609,-86.208934
34.3156349,-86.489638
34.2555939,-86.621299
33.3962979,-86.947547
33.4019209,-86.999607
34.0802329,-86.568628
33.9609599,-87.004281
32.9229659,-87.211387
33.0300429,-86.951672
33.0970959,-86.755987
32.9376199,-87.11924
33.3588779,-86.614132
33.2542239,-86.337622
32.8228279,-86.642472
33.9794019,-86.559355
33.1642599,-86.616145
34.0694129,-87.048395
33.4937439,-86.280026
34.1634419,-86.829777
33.4527199,-86.956435
33.7222429,-87.040148
33.8128849,-87.016139
33.4607899,-86.918262
33.5985789,-86.813614
33.7062059,-86.822481
33.0619379,-86.078149
33.6208559,-86.948221
34.0388649,-86.784844
33.3547559,-86.429441
33.8731019,-86.81767
33.3042739,-86.813786
34.1773809,-86.617441
32.9678349,-86.718052
34.2710349,-86.551939
32.9663639,-86.048397
33.7556509,-86.808417
33.5156289,-86.574824
33.5932089,-86.111152
34.1713749,-87.038115
33.2718419,-87.102379
33.2189899,-86.872745
33.1120609,-86.862228
33.7264679,-86.772551
33.6640759,-86.87171
33.5279919,-87.043998
33.6629069,-86.408952
33.9131539,-86.474118
33.2977559,-86.806176
33.5851849,-86.343151
33.6954269,-86.656542
33.4756319,-86.976586
33.6433609,-87.10066
33.7239729,-86.1619
33.8334999,-86.641662
33.5961279,-86.198341
32.8652529,-86.240006
33.0657789,-86.553606
33.7259429,-86.439407
33.4333989,-86.491732
33.7553009,-87.044545
33.1589709,-86.271257
33.4227409,-86.113352
32.9110509,-86.746724
33.8063339,-86.743414
33.6212279,-86.598068
34.3966409,-86.462793
33.4679999,-86.501278
33.3883449,-86.399425
34.2494169,-86.912512
33.8401579,-86.819849
33.0111059,-86.304203
33.1297269,-87.13694
33.2165509,-86.529894
33.1571039,-87.163469
33.5082899,-86.806626
33.5052459,-86.837198
33.4824399,-86.805937
33.5550929,-86.719854
33.5466789,-86.815344
33.4849539,-86.879884
33.4569199,-86.806738
33.5200929,-86.685697
33.4688609,-86.85904
33.5281789,-86.749524
33.4954909,-86.742108
33.5427409,-86.886989
33.6227429,-86.693197
33.4026059,-86.790425
33.5759959,-86.764995
33.4932679,-86.892993
33.4396119,-86.893493
33.5091549,-86.766579
33.4760219,-86.736584
33.5064219,-86.934193
33.3909709,-86.831257
33.4497419,-86.914703
33.4934569,-86.800257
33.5250459,-86.80685
33.6053409,-86.661051
33.3888549,-86.705511
33.4333489,-86.743676
33.3590719,-86.776381
33.1841869,-87.562666
33.1982099,-87.488079
33.1489999,-87.514435
