lat5,lng5
33.5968361,-86.51557
33.6011411,-86.959727
33.4469811,-87.167455
33.2495721,-86.812861
32.9541491,-85.951086
33.3438691,-86.208934
34.3410431,-86.489638
34.2810021,-86.621299
33.4217061,-86.947547
33.4273291,-86.999607
34.1056411,-86.568628
33.9863681,-87.004281
32.9483741,-87.211387
33.0554511,-86.951672
33.1225041,-86.755987
32.9630281,-87.11924
33.3842861,-86.614132
33.2796321,-86.337622
32.8482361,-86.642472
34.0048101,-86.559355
33.1896681,-86.616145
34.0948211,-87.048395
33.5191521,-86.280026
34.1888501,-86.829777
33.4781281,-86.956435
33.7476511,-87.040148
33.8382931,-87.016139
33.4861981,-86.918262
33.6239871,-86.813614
33.7316141,-86.822481
33.0873461,-86.078149
33.6462641,-86.948221
34.0642731,-86.784844
33.3801641,-86.429441
33.8985101,-86.81767
33.3296821,-86.813786
34.2027891,-86.617441
32.9932431,-86.718052
34.2964431,-86.551939
32.9917721,-86.048397
33.7810591,-86.808417
33.5410371,-86.574824
33.6186171,-86.111152
34.1967831,-87.038115
33.2972501,-87.102379
33.2443981,-86.872745
33.1374691,-86.862228
33.7518761,-86.772551
33.6894841,-86.87171
33.5534001,-87.043998
33.6883151,-86.408952
33.9385621,-86.474118
33.3231641,-86.806176
33.6105931,-86.343151
33.7208351,-86.656542
33.5010401,-86.976586
33.6687691,-87.10066
33.7493811,-86.1619
33.8589081,-86.641662
33.6215361,-86.198341
32.8906611,-86.240006
33.0911871,-86.553606
33.7513511,-86.439407
33.4588071,-86.491732
33.7807091,-87.044545
33.1843791,-86.271257
33.4481491,-86.113352
32.9364591,-86.746724
33.8317421,-86.743414
33.6466361,-86.598068
34.4220491,-86.462793
33.4934081,-86.501278
33.4137531,-86.399425
34.2748251,-86.912512
33.8655661,-86.819849
33.0365141,-86.304203
33.1551351,-87.13694
33.2419591,-86.529894
33.1825121,-87.163469
33.5336981,-86.806626
33.5306541,-86.837198
33.5078481,-86.805937
33.5805011,-86.719854
33.5720871,-86.815344
33.5103621,-86.879884
33.4823281,-86.806738
33.5455011,-86.685697
33.4942691,-86.85904
33.5535871,-86.749524
33.5208991,-86.742108
33.5681491,-86.886989
33.6481511,-86.693197
33.4280141,-86.790425
33.6014041,-86.764995
33.5186761,-86.892993
33.4650201,-86.893493
33.5345631,-86.766579
33.5014301,-86.736584
33.5318301,-86.934193
33.4163791,-86.831257
33.4751501,-86.914703
33.5188651,-86.800257
33.5504541,-86.80685
33.6307491,-86.661051
33.4142631,-86.705511
33.4587571,-86.743676
33.3844801,-86.776381
33.2095951,-87.562666
33.2236181,-87.488079
33.1744081,-87.514435
33.2848781,-87.536035
32.8850581,-87.708558
33.1355171,-88.166689
32.7873501,-88.026652
33.2902271,-87.309025
33.2621521,-87.718886
33.2612101,-88.132122
33.2653161,-87.636528
33.1893711,-87.387051
33.0955191,-87.494977
33.3292631,-87.807202
33.3563821,-87.801429
32.7676671,-88.305747
32.7760751,-88.161443
33.3995201,-88.221987
32.9015751,-87.930297
33.1485631,-87.735688
32.9210681,-88.271558
33.3596211,-87.900504
32.9951271,-87.791855
32.6012131,-88.173592
32.9915571,-87.615134
33.2961291,-87.591441
33.0755721,-87.744984
33.4086491,-88.020277
33.1876841,-87.257362
33.8843761,-87.249144
34.2182751,-87.194766
34.0759381,-87.182761
33.7135341,-87.68965
34.2261731,-87.686083
33.9555811,-88.01567
33.7071891,-87.622563
34.0504061,-87.756315
33.9219561,-87.540328
33.7807371,-87.18406
34.0235781,-88.16063
34.1513861,-87.397431
33.9442501,-87.619397
33.7101011,-87.834647
33.9803281,-87.90238
34.2805071,-87.860762
34.2441271,-87.593811
34.1661171,-88.008521
34.3543681,-87.959023
34.1307461,-87.26183
33.5876681,-88.05172
34.0656881,-87.539814
33.5528341,-88.200003
33.9425631,-87.432449
33.7128781,-87.368574
33.7340111,-87.265773
34.3597221,-87.715431
34.4639631,-88.112914
34.3975001,-87.712149
33.8676041,-88.150774
33.8597241,-87.437248
33.7739891,-88.097919
34.3838641,-88.077422
33.9429601,-87.79716
34.6023031,-86.98868
34.5611211,-87.000389
34.9644811,-87.272327
34.8163081,-86.970733
34.7568921,-87.972445
